이름,초,중,고,시도,시군구,읍면동
대구해올중고등학교(중·고 통합),0,1,1,대구광역시,달서구,성당동
새소리음악고등학교(고),0,0,1,대전광역시,서구,도마동
새소리음악중학교(중),0,1,0,대전광역시,서구,도마동
울산두남중고등학교(중·고 통합),0,1,1,울산광역시,울주군,두서면
티엘비유글로벌학교(초·중 통합),1,1,0,경기도,고양시,덕양구
화요일아침예술학교(고),0,0,1,경기도,연천군,전곡읍
쉐마기독학교(초·중·고 통합),1,1,1,경기도,양주시,은현면
새나래학교(중·고 통합),0,1,1,경기도,용인시,처인구
경기새울학교(중),0,1,0,경기도,이천시,율면
광성드림학교(초·중·고 통합),1,1,1,경기도,고양시,일산구
하늘꿈중고등학교(중·고 통합),0,1,1,경기도,성남시,수정구
중앙예닮학교(중·고 통합),0,1,1,경기도,용인시,수지구
노비따스음악중고등학교,0,1,1,경기도,가평군,설악면
해밀학교(중),0,1,0,강원도,홍천군,남면
노천초등학교(초),1,0,0,강원도,홍천군,홍천읍
글로벌선진학교(중·고 통합),0,1,1,충청북도,음성군,원남면
한국폴리텍다솜고등학교(고),0,0,1,충청북도,제천시,강제동
다다예술학교(초·중 통합),1,1,0,충청북도,청주시,상당구
은여울중학교(중),0,1,0,충청북도,진천군,문백면
여해학교(중),0,1,0,충청남도,아산시,염치읍
드림학교(고),0,0,1,충청남도,천안시,충절로
충남다사랑학교(고),0,0,1,충청남도,아산시,둔포면
월광기독학교(중·고),0,1,1,전라남도,함평군,대동면
성요셉상호문화고등학교(고),0,0,1,전라남도,강진군,강진읍
한동글로벌학교(초·중·고 통합),1,1,1,경상북도,포항시,북구
글로벌선진학교문경(중·고 통합),0,1,1,경상북도,문경시,영순면
산자연중학교(중),0,1,0,경상북도,영천시,화북면
나무와중학교(중),0,1,0,경상북도,영천시,대창면
링컨중고등학교(중·고 통합),0,1,1,경상북도,김천시,대덕면
대경문화예술고등학교(고),0,0,1,경상북도,경산시,자인면
경남꿈키움중학교(중),0,1,0,경상남도,진주시,이반성면
지리산중학교(중),0,1,0,경상남도,하동군,청암면
경남고성음악고등학교(고),0,0,1,경상남도,고성군,하일면
밀양영화고등학교(고),0,0,1,경상남도,밀양시,상남면
금곡무지개고등학교(고),0,0,1,경상남도,김해시,한림면
거창연극고등학교(고),0,0,1,경상남도,거창군,위천면
한울안중학교,0,1,0,대구광역시,달성군,현풍읍
가창중학교,0,1,0,대구광역시,달성군,가창면
평동중학교,0,1,0,광주광역시,광산구,용동
두레자연중학교,0,1,0,경기도,화성시,우정읍
헌산중학교,0,1,0,경기도,용인시,처인구
한겨레중학교,0,1,0,경기도,안성시,죽산면
팔렬중학교,0,1,0,강원도,홍천군,내촌면
가정중학교,0,1,0,강원도,춘천시,남면
전북동화중학교,0,1,0,전라북도,정읍시,태인면
지평선중학교,0,1,0,전라북도,김제시,성덕면
용정중학교,0,1,0,전라남도,보성군,미력면
성지송학중학교,0,1,0,전라남도,영광군,군서면
청람중학교,0,1,0,전라남도,강진군,군동면
나산실용예술중학교,0,1,0,전라남도,함평군,나산면
상주중학교,0,1,0,경상북도,상주시,만산동
산마을고등학교,0,0,1,인천광역시,강화군,양도면
두레자연고등학교,0,0,1,경기도,화성시,우정읍
경기대명고등학교,0,0,1,경기도,수원시,권선구
이우고등학교,0,0,1,경기도,성남시,분당구
한겨레고등학교,0,0,1,경기도,안성시,죽산면
전인고등학교,0,0,1,강원도,춘천시,동산면
팔렬고등학교,0,0,1,강원도,홍천군,내촌면
현천고등학교,0,0,1,강원도,횡성군,둔내면
양업고등학교,0,0,1,충청북도,청주시,흥덕구
한마음고등학교,0,0,1,충청남도,천안시,동남구
공동체비전고등학교,0,0,1,충청남도,서천군,서천읍
세인고등학교,0,0,1,전라북도,완주군,화산면
푸른꿈고등학교,0,0,1,전라북도,무주군,안성면
지평선고등학교,0,0,1,전라북도,김제시,성덕면
고산고등학교,0,0,1,전라북도,완주군,고산면
영산성지고등학교,0,0,1,전라남도,영광군,백수읍
한빛고등학교,0,0,1,전라남도,담양군,대전면
한울고등학교,0,0,1,전라남도,곡성군,목사동면
경주화랑고등학교,0,0,1,경상북도,경주시,양북면
간디고등학교,0,0,1,경상남도,산청군,신안면
원경고등학교,0,0,1,경상남도,합천군,적중면
지리산고등학교,0,0,1,경상남도,산청군,단성면
태봉고등학교,0,0,1,경상남도,창원시,마산합포구
